System,FountainType,Position,Painted,GISPropNum,PropName,OMPPropID,Borough,FountainCount,Department,District,FeatureStatus,Point
X260-DF0312,C,Near Ballfield,NO,X260,Julio Carballo Fields,X260,X,1,X-02,C-Julio Carballo Fields,Active,POINT (-73.889234 40.816231)
Q220C-DF0792,C,In Playground,NO,Q220C,Dr. Charles R. Drew Park,Q220C,Q,1,Q-12,C-Dr. Charles R. Drew Park,Active,POINT (-73.802544 40.68019)
Q398-DF0143,E,In Playground,NO,Q398,Rosemary's Playground,Q398,Q,1,Q-05,E-Rosemary's Playground,Active,POINT (-73.904021 40.704819)
B529-DF1120,Food Prep Sink,Indoor,,B529,Bushwick Inlet Park,B529-BLG1627,B,1,B-01,Food Prep Sink-Bushwick Inlet Park-Bushwick Inlet Park Headquarters,Active,POINT (-73.960596 40.721913)
X253-DF0019,C,Near Ballfield,YES,X253,Ambrosini Field,X253,X,1,X-15,C-Ambrosini Field,Active,POINT (-73.783529 40.844378)
M071-DF0093,B,Near Ballfield,NO,M071,Riverside Park,M071-ZN22,M,1,M-14,B-Riverside Park-Skate Park And Basketball Courts,Active,POINT (-73.970636 40.804778)
B247-DF0447,C,"Out in Open, Near Ballfield",NO,B247,Breukelen Ballfields,B247,B,1,B-18,C-Breukelen Ballfields,Active,POINT (-73.89104 40.651481)
B028-DF0726,A,Just Outside Playground,NO,B028,Dyker Beach Park,B028-ZN01,B,1,B-10,A-Dyker Beach Park-Dyker Beach Park Zone 1,Active,POINT (-74.017305 40.606009)
X016-DF0518,Indoor Drinking Fountain,Indoor,,X016,Owen F. Dolen Park,X016-BLG0910,X,1,X-10,Indoor Fountain-Owen F. Dolen Park-Recreation Center,Active,POINT (-73.84258 40.840683)
R008-DF0201,CS Metal,Indoor,,R008,Faber Pool and Park,R008,R,1,R-01,CS Metal-Faber Pool and Park,Active,POINT (-74.135167 40.641075)
B021-DF0735,A,Near Ballfield,YES,B021,Commodore Barry Park,B021,B,1,B-02,A-Commodore Barry Park,Active,POINT (-73.980306 40.697234)
X219-DF0209,A,"Under Tree, In Shade, In Playground",YES,X219,Arcilla Playground,X219,X,1,X-04,A-Arcilla Playground,Active,POINT (-73.914726 40.827358)
X002-DF0516,Indoor Drinking Fountain,Indoor,,X002,Bronx Park,X002-BLG0001,X,1,X-14,Indoor Drinking Fountain-Bronx Park-Ranaqua,Active,POINT (-73.870393 40.847141)
B002-DF0732,E,"Under Tree, Out in Open",YES,B002,Amersfort Park,B002,B,1,B-18,E-Amersfort Park,Active,POINT (-73.939051 40.629068)
Q340-DF0090,A,"Under Tree, In Playground",NO,Q340,Torsney Playground,Q340,Q,1,Q-02,A-Torsney Playground,Active,POINT (-73.922659 40.747212)
Q330-DF0136,D,In Playground,NO,Q330,Locust Manor Playground,Q330,Q,1,Q-12,D-Locust Manor Playground,Active,POINT (-73.756526 40.685687)
Q094-DF0592,C,Near Ballfield,NO,Q094,Tudor Park,Q094,Q,1,Q-10,C-Tudor Park,Active,POINT (-73.848133 40.671319)
M010-DF0652,B,"Near Ballfield, Under Tree, In Shade",NO,M010,Central Park,M010-ZN37,M,1,M-13,B-Central Park-North Meadow,Active,POINT (-73.959764 40.792071)
Q359-DF0465,D,Near Ballfield,NO,Q359,Haggerty Park,Q359,Q,1,Q-12,D-Haggerty Park,Active,POINT (-73.757742 40.713272)
