InspectionID,PRNumber,PR Overall Condition,PR Litter,PR Graffiti,PR Amenities,PR Structural
184194,1,A,A,A,A,A
184196,1,A,A,A,A,A
184201,1,A,A,A,A,A
184202,1,A,A,A,A,A
184203,1,A,A,A,U,A
184152,1,A,A,A,A,A
184154,1,A,A,A,A,A
184156,1,A,A,A,U,A
184159,1,A,A,A,A,A
184165,1,A,A,A,A,A
184167,1,A,A,A,A,A
184124,1,A,A,A,A,A
184125,1,A,A,A,A,A
184129,1,A,A,A,A,A
184143,1,A,A,A,A,A
184144,1,A,A,A,A,A
184106,1,A,A,A,A,A
184110,1,A,A,A,A,A
184111,1,A,A,A,A,A
184113,1,A,A,A,A,A
184114,1,A,A,A,A,A
184115,1,A,A,A,A,A
184116,1,A,A,A,A,A
184118,1,U,N,N,N,N
184119,1,A,A,A,A,A
184120,1,N,N,N,N,N
184121,1,A,A,A,A,A
184122,1,A,A,A,A,A
184091,1,A,N,N,N,N
184095,1,A,A,A,A,A
184067,1,A,A,A,A,A
184068,1,A,A,A,A,A
184075,1,A,A,A,A,A
184080,1,A,A,A,A,A
184082,1,A,A,A,A,A
184084,1,U,A,A,U,U
184085,1,N,N,N,N,N
184045,1,A,A,A,A,A
184054,1,A,A,A,A,A
184055,1,A,A,A,A,A
184057,1,N,N,N,N,N
184065,1,A,A,A,A,A
184006,1,A,A,A,A,A
184007,1,A,A,A,A,A
184018,1,N,N,N,N,N
184022,1,N,N,N,N,N
184023,1,A,A,A,A,A
184025,1,U,N,N,N,N
184033,1,A,A,A,A,A
184036,1,A,A,A,A,A
184039,1,U,A,A,A,A
184039,2,A,A,A,A,A
184041,1,A,A,A,A,A
183973,1,A,A,A,A,A
183975,1,A,A,A,A,A
183982,1,A,A,A,A,A
183988,1,A,A,A,A,U
183991,1,A,A,A,A,A
183994,1,A,A,A,A,A
183995,1,A,A,A,A,A
183996,1,A,A,A,A,A
183998,1,A,A,A,A,A
184001,1,A,A,A,U,A
184003,1,N,N,N,N,N
183942,1,N,N,N,N,N
183952,1,A,A,A,A,A
183955,1,A,A,A,A,A
183956,1,U,U/S,A,A,A
183957,1,A,A,A,A,A
183961,1,A,A,A,A,A
183962,1,N,N,N,N,N
183966,1,A,A,A,A,A
183908,1,N,N,N,N,N
183913,1,A,A,A,A,A
183914,1,A,A,A,A,A
183915,1,A,A,A,A,A
183916,1,A,U,A,A,A
183917,1,A,A,A,A,A
183918,1,A,A,A,A,A
183921,1,A,A,A,A,A
183925,1,A,A,A,A,A
183930,1,A,A,A,A,A
183935,1,A,A,A,A,A
183936,1,A,A,A,A,A
183879,1,A,A,A,A,U
183880,1,A,A,A,A,A
183883,1,A,A,A,A,A
183885,1,A,A,A,A,A
183885,2,A,A,A,A,A
183887,1,U,N,N,N,N
183889,1,A,A,A,A,A
183899,1,A,A,A,A,A
183900,1,A,A,A,A,A
183903,1,A,A,A,A,A
183906,1,N,N,N,N,N
183847,1,N,N,N,N,N
183850,1,U,N,N,N,N
183855,1,A,A,A,A,A
183856,1,A,A,A,A,A
183864,1,A,A,A,A,A
183865,1,A,A,A,A,A
183866,1,A,A,A,A,A
183867,1,A,A,A,A,A
183868,1,A,A,A,A,A
183873,1,A,A,A,A,A
183874,1,A,A,A,A,A
183842,1,A,A,A,A,A
183843,1,A,A,A,A,A
183798,1,A,A,A,A,U
183804,1,A,A,A,A,U
183806,1,A,A,A,A,A
183809,1,A,A,A,A,A
183810,1,A,A,A,A,U
183810,2,N,N,N,N,N
183818,1,A,A,A,A,A
183820,1,N,N,N,N,N
183758,1,N,N,N,N,N
183759,1,A,A,A,U,A
183760,1,A,A,A,A,A
183767,1,N,N,N,N,N
183768,1,A,A,A,A,A
183770,1,U,U/S,A,A,A
183771,1,A,A,A,U,A
183773,1,A,A,A,A,A
183774,1,A,A,A,A,A
183775,1,A,A,A,A,A
183782,1,A,A,A,A,A
183789,1,A,A,A,A,A
183790,1,A,A,A,A,A
183793,1,A,A,A,A,A
183735,1,A,A,A,A,A
183736,1,A,A,A,A,A
183738,1,A,A,A,A,A
183742,1,N,N,N,N,N
183744,1,A,A,A,A,U
183745,1,U,U/S,A,A,A
183747,1,U,U,A,U,A
183749,1,A,A,A,A,A
183751,1,U,N,N,N,N
183752,1,A,A,A,A,A
183708,1,A,A,A,A,A
183709,1,N,N,N,N,N
183710,1,A,A,A,U,A
183716,1,N,N,N,N,N
183720,1,N,N,N,N,N
183724,1,A,A,A,A,A
183725,1,A,A,A,A,A
183729,1,A,A,A,A,A
183682,1,A,A,A,A,A
183684,1,A,A,A,A,A
183688,1,A,A,A,A,A
183689,1,A,A,A,A,A
183689,2,A,A,A,A,A
183691,1,A,A,A,A,A
183698,1,N,N,N,N,N
183703,1,A,A,A,A,A
183653,1,A,A,A,A,A
183654,1,N,N,N,N,N
183655,1,A,A,A,A,A
183661,1,A,A,A,A,A
183665,1,A,A,A,A,A
183623,1,N,N,N,N,N
183626,1,A,A,A,A,A
183629,1,A,A,A,A,A
183630,1,A,A,A,A,U
183631,1,N,N,N,N,N
183632,1,U,N,N,N,N
183634,1,A,A,A,A,A
183636,1,A,A,A,A,A
183639,1,A,A,A,A,U
183645,1,A,A,A,A,A
183647,1,A,A,A,A,A
183617,1,A,A,A,A,A
183618,1,A,A,A,A,A
183587,1,A,A,A,A,A
183588,1,A,A,A,A,A
183593,1,N,N,N,N,N
183594,1,A,A,A,A,A
183596,1,A,A,A,A,A
183599,1,A,A,A,A,A
183605,1,A,A,A,A,A
183610,1,A,A,A,A,A
183565,1,N,N,N,N,N
183573,1,A,A,A,A,A
183575,1,A,A,A,A,A
183577,1,A,A,A,A,A
183579,1,A,A,A,A,A
183580,1,A,A,A,A,A
183583,1,N,N,N,N,N
183585,1,A,A,A,U,A
183511,1,A,A,A,A,A
183513,1,N,N,N,N,N
183531,1,A,A,A,A,A
183534,1,A,A,A,A,A
183477,1,N,N,N,N,N
183479,1,N,N,N,N,N
183483,1,A,A,A,A,A
183484,1,A,A,A,A,U
183485,1,A,A,A,A,A
183486,1,A,A,A,A,A
183490,1,A,A,A,A,A
183495,1,A,A,A,A,A
183496,1,A,A,A,A,A
183497,1,N,N,N,N,N
183501,1,N,N,N,N,N
183502,1,A,A,A,A,A
183503,1,A,A,A,A,A
183452,1,A,A,A,A,A
183453,1,A,A,A,A,A
183456,1,A,A,A,A,A
183473,1,U,U/S,A,A,A
183475,1,A,A,A,U,A
183433,1,A,A,A,A,A
183439,1,N,N,N,N,N
183445,1,A,A,A,A,A
183446,1,N,N,N,N,N
183451,1,A,A,A,A,A
183407,1,A,A,A,A,A
183415,1,N,N,N,N,N
183418,1,A,A,A,A,U
183421,1,A,A,A,A,A
183422,1,A,A,A,A,A
183426,1,A,A,A,A,A
183428,1,A,A,A,A,A
183384,1,A,A,A,A,A
183385,1,A,A,A,A,A
183390,1,N,N,N,N,N
183394,1,A,A,A,A,A
183395,1,A,A,A,A,A
183396,1,U,A,U/S,U,U
183400,1,A,A,A,A,A
183347,1,A,A,A,A,A
183348,1,A,A,A,A,A
183349,1,A,A,A,A,A
183351,1,A,A,A,A,U
183353,1,A,A,A,A,A
183367,1,N,N,N,N,N
183373,1,A,A,A,U,A
183379,1,A,A,A,U,A
183327,1,N,N,N,N,N
183328,1,A,A,A,A,A
183329,1,A,A,A,A,A
183331,1,N,N,N,N,N
183339,1,A,A,A,A,A
183343,1,U,N,N,N,N
183380,1,A,A,A,A,A
183381,1,A,A,A,U,A
183318,1,A,A,A,A,A
183322,1,A,A,A,A,A
183323,1,A,A,A,A,A
183297,1,A,N,N,N,N
183250,1,A,A,A,A,A
183251,1,U,N,N,N,N
183252,1,A,A,A,A,A
183253,1,A,A,A,A,A
183256,1,N,N,N,N,N
183263,1,N,N,N,N,N
183268,1,N,N,N,N,N
183211,1,A,A,A,A,A
183212,1,U,N,N,N,N
183214,1,A,A,A,A,A
183217,1,A,A,A,A,A
183220,1,A,A,A,A,A
183223,1,A,A,A,A,A
183224,1,A,A,A,A,A
183226,1,A,A,A,A,A
183230,1,N,N,N,N,N
183233,1,A,A,A,A,A
183238,1,A,A,A,A,A
183239,1,N,N,N,N,N
